--- BrainFuck++ Debug Log ---\nCode Length: 577\n---------------------------\nIP: 0     | Cmd: '+' | Pos: 0     | Val: 0   (0x00) | Ptr: 0x5ea894d42700 | Stk: 0
IP: 1     | Cmd: '+' | Pos: 0     | Val: 1   (0x01) | Ptr: 0x5ea894d42700 | Stk: 0
IP: 2     | Cmd: '+' | Pos: 0     | Val: 2   (0x02) | Ptr: 0x5ea894d42700 | Stk: 0
IP: 3     | Cmd: '>' | Pos: 0     | Val: 3   (0x03) | Ptr: 0x5ea894d42700 | Stk: 0
IP: 4     | Cmd: '+' | Pos: 1     | Val: 0   (0x00) | Ptr: 0x5ea894d42720 | Stk: 0
IP: 5     | Cmd: '+' | Pos: 1     | Val: 1   (0x01) | Ptr: 0x5ea894d42720 | Stk: 0
IP: 6     | Cmd: '+' | Pos: 1     | Val: 2   (0x02) | Ptr: 0x5ea894d42720 | Stk: 0
IP: 7     | Cmd: '+' | Pos: 1     | Val: 3   (0x03) | Ptr: 0x5ea894d42720 | Stk: 0
IP: 9     | Cmd: '<' | Pos: 1     | Val: 4   (0x04) | Ptr: 0x5ea894d42720 | Stk: 0
IP: 10    | Cmd: '<' | Pos: 0     | Val: 3   (0x03) | Ptr: 0x5ea894d42700 | Stk: 0
IP: 48    | Cmd: '[' | Pos: -1    | Val: 0   (0x00) | Ptr: 0x5ea894d42740 | Stk: 0
IP: 522   | Cmd: '>' | Pos: -1    | Val: 0   (0x00) | Ptr: 0x5ea894d42740 | Stk: 0
IP: 523   | Cmd: '>' | Pos: 0     | Val: 3   (0x03) | Ptr: 0x5ea894d42700 | Stk: 0
IP: 524   | Cmd: '.' | Pos: 1     | Val: 4   (0x04) | Ptr: 0x5ea894d42720 | Stk: 0
--- End of Execution ---\n
